"STT","Mã Nhãn","Phân loại","Địa chỉ IP","Vị trí","Mô tả"
"1","NKC-IPC-F1-01","camera","","Tầng 1","Camera IP Tầng 1"
"2","NKC-IPC-F1-02","camera","","Tầng 1","Camera IP Tầng 1"
"3","NKC-IPC-F1-03","camera","","Tầng 1","Camera IP Tầng 1"
"4","NKC-IPC-F1-04","camera","","Tầng 1","Camera IP Tầng 1"
"5","NKC-IPC-F1-05","camera","","Tầng 1","Camera IP Tầng 1"
"6","NKC-IPC-F1-06","camera","","Tầng 1","Camera IP Tầng 1"
"7","NKC-IPC-F1-07","camera","","Tầng 1","Camera IP Tầng 1"
"8","NKC-IPC-F1-08","camera","","Tầng 1","Camera IP Tầng 1"
"9","NKC-IPC-F1-09","camera","","Tầng 1","Camera IP Tầng 1"
"10","NKC-IPC-F2-01","camera","","Tầng 2","Camera IP Tầng 2"
"11","NKC-IPC-F2-02","camera","","Tầng 2","Camera IP Tầng 2"
"12","NKC-IPC-F2-03","camera","","Tầng 2","Camera IP Tầng 2"
"13","NKC-IPC-F2-04","camera","","Tầng 2","Camera IP Tầng 2"
"14","NKC-IPC-F2-05","camera","","Tầng 2","Camera IP Tầng 2"
"15","NKC-IPC-F2-06","camera","","Tầng 2","Camera IP Tầng 2"
"16","NKC-IPC-F2-07","camera","","Tầng 2","Camera IP Tầng 2"
"17","NKC-IPC-F2-08","camera","","Tầng 2","Camera IP Tầng 2"
"18","NKC-IPC-F2-09","camera","","Tầng 2","Camera IP Tầng 2"
"19","NKC-IPC-F2-10","camera","","Tầng 2","Camera IP Tầng 2"
"20","NKC-IPC-F3-01","camera","","Tầng 3","Camera IP Tầng 3"
"21","NKC-IPC-F3-02","camera","","Tầng 3","Camera IP Tầng 3"
"22","NKC-IPC-F3-03","camera","","Tầng 3","Camera IP Tầng 3"
"23","NKC-IPC-F3-04","camera","","Tầng 3","Camera IP Tầng 3"
"24","NKC-IPC-F3-05","camera","","Tầng 3","Camera IP Tầng 3"
"25","NKC-IPC-F3-06","camera","","Tầng 3","Camera IP Tầng 3"
"26","NKC-IPC-F3-07","camera","","Tầng 3","Camera IP Tầng 3"
"27","NKC-IPC-F3-08","camera","","Tầng 3","Camera IP Tầng 3"
"28","NKC-IPC-F3-09","camera","","Tầng 3","Camera IP Tầng 3"
"29","NKC-IPC-F3-10","camera","","Tầng 3","Camera IP Tầng 3"
"30","NKC-IPC-F4-01","camera","","Tầng 4","Camera IP Tầng 4"
"31","NKC-IPC-F4-02","camera","","Tầng 4","Camera IP Tầng 4"
"32","NKC-IPC-F4-04","camera","","Tầng 4","Camera IP Tầng 4"
"33","NKC-IPC-F4-05","camera","","Tầng 4","Camera IP Tầng 4"
"34","NKC-IPC-F4-06","camera","","Tầng 4","Camera IP Tầng 4"
"35","NKC-IPC-F4-07","camera","","Tầng 4","Camera IP Tầng 4"
"36","NKC-IPC-F4-08","camera","","Tầng 4","Camera IP Tầng 4"
"37","NKC-IPC-F4-09","camera","","Tầng 4","Camera IP Tầng 4"
"38","NKC-IPC-F5-01","camera","","Tầng 5","Camera IP Tầng 5"
"39","NKC-IPC-F5-02","camera","","Tầng 5","Camera IP Tầng 5"
"40","NKC-IPC-F5-03","camera","","Tầng 5","Camera IP Tầng 5"
"41","NKC-IPC-F5-04","camera","","Tầng 5","Camera IP Tầng 5"
"42","NKC-IPC-F5-05","camera","","Tầng 5","Camera IP Tầng 5"
"43","NKC-IPC-F5-06","camera","","Tầng 5","Camera IP Tầng 5"
"44","NKC-IPC-F5-07","camera","","Tầng 5","Camera IP Tầng 5"
"45","NKC-IPC-F6-01","camera","","Tầng 6","Camera IP Tầng 6"
"46","NKC-IPC-F6-02","camera","","Tầng 6","Camera IP Tầng 6"
"47","NKC-IPC-F6-03","camera","","Tầng 6","Camera IP Tầng 6"
"48","NKC-IPC-F6-04","camera","","Tầng 6","Camera IP Tầng 6"
"49","NKC-IPC-F6-05","camera","","Tầng 6","Camera IP Tầng 6"
"50","NKC-IPC-F6-06","camera","","Tầng 6","Camera IP Tầng 6"
"51","NKC-IPC-F6-07","camera","","Tầng 6","Camera IP Tầng 6"
"52","NKC-IPC-F6-08","camera","","Tầng 6","Camera IP Tầng 6"
"53","NKC-IPC-F6-09","camera","","Tầng 6","Camera IP Tầng 6"
"54","NKC-IPC-F6-10","camera","","Tầng 6","Camera IP Tầng 6"
"55","NKC-IPC-F6-11","camera","","Tầng 6","Camera IP Tầng 6"
"56","NKC-IPC-F7-01","camera","","Tầng 7","Camera IP Tầng 7"
"57","NKC-IPC-F7-02","camera","","Tầng 7","Camera IP Tầng 7"
"58","NKC-IPC-F7-03","camera","","Tầng 7","Camera IP Tầng 7"
"59","NKC-IPC-F7-04","camera","","Tầng 7","Camera IP Tầng 7"
"60","NKC-IPC-F7-05","camera","","Tầng 7","Camera IP Tầng 7"
"61","NKC-IPC-F7-06","camera","","Tầng 7","Camera IP Tầng 7"
"62","NKC-IPC-F8-01","camera","","Tầng 8","Camera IP Tầng 8"
"63","NKC-IPC-F8-02","camera","","Tầng 8","Camera IP Tầng 8"
"64","NKC-IPC-F8-03","camera","","Tầng 8","Camera IP Tầng 8"
"65","NKC-IPC-F8-04","camera","","Tầng 8","Camera IP Tầng 8"
"66","NKC-IPC-F9-01","camera","","Tầng 9","Camera IP Tầng 9"
"67","NKC-IPC-F9-02","camera","","Tầng 9","Camera IP Tầng 9"
"68","NKC-IPC-FB-01","camera","","Tầng B","Camera IP Tầng B"
"69","NKC-IPC-FB-02","camera","","Tầng B","Camera IP Tầng B"
"70","NKC-IPC-FB-03","camera","","Tầng B","Camera IP Tầng B"
"71","NKC-IPC-FB-04","camera","","Tầng B","Camera IP Tầng B"
"72","NKC-IPC-FB-05","camera","","Tầng B","Camera IP Tầng B"
"73","NKC-IPC-FB-06","camera","","Tầng B","Camera IP Tầng B"
"74","NKC-IPC-FE-01","camera","","Thang máy","Camera IP Thang Máy"
"75","NKC-IPC-FG-01","camera","","Tầng G","Camera IP Tầng G"
"76","NKC-IPC-FG-02","camera","","Tầng G","Camera IP Tầng G"
"77","NKC-IPC-FG-03","camera","","Tầng G","Camera IP Tầng G"
"78","NKC-IPC-FG-04","camera","","Tầng G","Camera IP Tầng G"
"79","NKC-IPC-FG-05","camera","","Tầng G","Camera IP Tầng G"
"80","NKC-IPC-FG-06","camera","","Tầng G","Camera IP Tầng G"
"81","NKC-IPC-FG-07","camera","","Tầng G","Camera IP Tầng G"
"82","NKC-IPC-FG-08","camera","","Tầng G","Camera IP Tầng G"
"83","NKC-IPC-FG-09","camera","","Tầng G","Camera IP Tầng G"
"84","NKC-IPC-FG-10","camera","","Tầng G","Camera IP Tầng G"
"85","NKC-IPC-FG-11","camera","","Tầng G","Camera IP Tầng G"
"86","NKC-IPC-FG-12","camera","","Tầng G","Camera IP Tầng G"
"87","NKC-NVR-FX-01","nvr","192.168.247.2","Tủ Rack","Đầu ghi Camera"
