"STT","Mã Nhãn","Phân loại","Địa chỉ IP","Vị trí","Mô tả"
"1","CN-MD-FX-01","modem","118.69.191.179","Tủ Rack","Line Internet FPT Chính"
"2","CN-MD-FX-02","modem","115.79.38.83","Tủ Rack","Line Internet Viettel Phụ"
"3","CN-RT-FX-01","router","192.168.245.254","Tủ Rack","Router Tổng CN"
"4","CN-SW-FX-01","switch","","Tủ Rack","Switch Core Data"
"5","NKC-SW-F1-01","switch","-","Tầng 1","Switch Tầng 1"
"6","NKC-SW-F1-11","switch","192.168.247.102","Tầng 1","Switch Cam Tầng 1"
"7","NKC-SW-F2-01","switch","-","Tầng 2","Switch Tầng 2"
"8","NKC-SW-F2-02","switch","-","Tầng 2","Switch Tầng 2"
"9","NKC-SW-F3-01","switch","-","Tầng 3","Switch Tầng 3"
"10","NKC-SW-F4-01","switch","-","Tầng 4","Switch Tầng 4"
"11","NKC-SW-F5-01","switch","-","Tầng 5","Switch Tầng 5"
"12","NKC-SW-F5-02","switch","-","Tầng 5","Switch Tầng 5"
"13","NKC-SW-F5-03","switch","-","Tầng 5","Switch Tầng 5"
"14","NKC-SW-F5-11","switch","192.168.247.105","Tầng 5","Switch Cam Tầng 5"
"15","NKC-SW-F6-01","switch","-","Tầng 6","Switch Tầng 6"
"16","NKC-SW-F6-02","switch","-","Tầng 6","Switch Tầng 6"
"17","NKC-SW-F6-11","switch","192.168.247.106","Tầng 6","Switch Cam Tầng 6"
"18","NKC-SW-F6-12","switch","192.168.247.107","Tầng 6","Switch Cam Tầng 6"
"19","NKC-SW-F7-01","switch","-","Tầng 7","Switch Tầng 7"
"20","NKC-SW-F7-11","switch","192.168.247.108","Tầng 7","Switch Cam Tầng 7"
"21","NKC-SW-FG-01","switch","-","Tầng G","Switch Tầng G"
"22","NKC-SW-FG-11","switch","192.168.247.100","Tầng G","Switch Cam Tầng G"
"23","NKC-SW-FX-01","switch","","Tủ Rack","Switch Core Camera"
"24","NKC-UPS-FX-01","ups","-","Tủ Rack","Nguồn Network"
"25","NKC-UPS-FX-02","ups","-","Tủ Rack","Nguồn Server"
"26","NK-MD-FX-01","modem","115.78.239.218","Tủ Rack","Line Internet Viettel Chính"
"27","NK-MD-FX-02","modem","115.79.30.47","Tủ Rack","Line Internet Viettel Phụ"
"28","NK-RT-FX-01","router","192.168.117.254","Tủ Rack","Router Tổng NK"
"29","NK-RT-FX-01","router","192.168.117.254","Tủ Rack","Router Draytek 3910"
"30","NK-SW-FX-01","switch","","Tủ Rack","Switch Core Data"
"31","WH-RT-FX-01","router","192.168.191.254","Tủ Rack 191","Router Core kho"
